https://www.allmovie.com/movie/pans-labyrinth-v326961, Pan's Labyrinth, Drama Fantasy, Fairy Tales & Legends Period Film War Drama, Dec 29 2006, 119, Mexico Spain, R, 10,  Adult Situations Gore Graphic Violence Not For Children Profanity War Violence, Guillermo del Toro, Esperanto Filmoj Estudios Picasso OMM Picturehouse Telecinco Tequila Gang, Pan-Europeenne Picturehouse Warner Bros. Pictures International, A World of Its Own, Chosen One | Fantasy Life | Mythical Creatures | Mothers and Daughters | Servants and Employers, fairytale fantasy guerrilla labyrinth princess reality revolution, High Artistic Quality, Mexican filmmaker Guillermo del Toro returns to the phantasmagorical cinema that defined such early fare as Cronos and The Devil's Backbone with this haunting fantasy-drama set in the aftermath of the Spanish Civil War and detailing the strange journeys of an imaginative young girl who may be the mythical princess of an underground kingdom. Her mother Carmen (Ariadna Gil) recently remarried to sadistic army captain Vidal (Sergi López) and soon to bear the cruel military man's child shy young Ofelia (Ivana Baquero) is forced to entertain herself as her recently-formed family settles into their new home nestled deep in the Spanish countryside. As Ofelia's bed-ridden mother lies immobilized in anticipation of her forthcoming child and her high-ranking stepfather remains determined to fulfill the orders of General Francisco Franco to crush a nearby guerilla uprising the young girl soon ventures into an elaborate stone labyrinth presided over by the mythical faun Pan (Doug Jones). Convinced by Pan that she is the lost princess of legend and that in order to return to her underground home she must complete a trio of life-threatening tasks Ofelia sets out to reclaim her kingdom and return to her grieving father as Vidal's housekeeper Mercedes (Maribel Verdú) and doctor (Alex Angulo) plot secretly on the surface to keep the revolution alive., Ariadna Gil | Ivana Baquero | Sergi López | Doug Jones | Alex Angulo | Manolo Solo | Cesar Vea | Roger Casamajor | Gonzalo Martin Uriarte | Eusebio Lazaro | Juanjo Cucalon | Lina Mira | Mario Zorilla | Sebastian Haro | Mila Espiga | Pepa Pedroche | María Jesús Gatoo | Ana Saez | Chani Martin | Milo Taboada | Fernando Albizu | Pedro G. Marzo | Jose Luis Torrijos | Inigo Garces | Fernando Tielve | Federico Luppi | Chicho Campillo | Shirley Cheechoo, Blancanieves | The Devil's Backbone | Mama | The Lives of Others | MirrorMask | The Fall
https://www.allmovie.com/movie/notes-on-a-scandal-v326925, Notes on a Scandal, Drama, Melodrama Psychological Drama, Dec 22 2006, 91, UK USA, R, 7,  Adult Situations Brief Nudity Profanity Sexual Situations, Richard Eyre, BBC Films DNA Films Fox Searchlight Pictures Robert Fox Scott Rudin UK Film Council, 20th Century Fox DNA Films Fox Searchlight, Only Human | Uncomfortable Viewing, Blackmail | Infidelity | Dangerous Attraction | Faltering Friendships | Keeping a Secret | Scandals and Cover-Ups | Stalkers | Teachers and Students | Voyeurs, extramarital-affair friendship marriage teacher ethics lesbianism, , Lust jealousy and revenge come cloaked in the guise of friendship in this psychological drama. Barbara Covett (Judi Dench) is a history teacher at a high school in London; while elderly Barbara is very bright she's also severe and domineering with a strong personality that tends to put people off. Barbara also takes a voyeuristic delight in recording the actions of those around her in her diary in the most minute detail. When Sheba Hart (Cate Blanchett) a bright and attractive woman in her mid-thirties is hired as the school's new art teacher Barbara believes she may have found someone worthy of her friendship though she's soon disappointed to discover that Sheba has a husband and two children a lifestyle that she finds offensively bourgeois. However Barbara's obsessive interest in Sheba is rewarded when the younger teacher confesses that one of her students Steven (Andrew Simpson) has developed an obviously sexual interest in her. However in fact Steven's crush on Sheba is hardly one-sided and in time Barbara discover that the two have been making love on a regular basis for months. When circumstances turn Barbara against Sheba she uses what she knows about the affair to destroy the life of her "friend." Based on the novel by Zoe Heller Notes on a Scandal also stars Bill Nighy., Judi Dench | Cate Blanchett | Bill Nighy | Andrew Simpson | Michael Maloney | Juno Temple | Max Lewis | Joanna Scanlan | Julia McKenzie | Shaun Parkes | Tom Georgeson | Syreeta Kumar | Wendy Nottingham | Tameka Empson | Leon Skinner | Debra Gillett | Barry McCarthy | Adrian Scarborough | Jill Baker | Diana Berriman | Alice Bird | Benedict Taylor | Miranda Pleasence | Jonathan Speer | Stephen Kennedy | Derbhle Crotty | Catherine Drew | Anne-Marie Duff, Coronacion | The Deep End | The School of Flesh | Damage | Tape | Enduring Love
https://www.allmovie.com/movie/an-inconvenient-truth-v342290, An Inconvenient Truth, Culture & Society, Environmental Science Social Issues Biography, May 26 2006, 95, USA, PG, 7,  Adult Situations, Davis Guggenheim, Participant Productions, Paramount Classics, Food for Thought | Button Pushers, , activism climate ecological-disaster environmentalism global-warming, , Former vice president Al Gore shares his concerns on the pressing issue of global warming in this documentary. A long-time environmental activist Gore first became aware of evidence on global warming in the 1970s and since leaving public office he has become a passionate advocate for large- and small-scale changes in our laws and lifestyles that could help alleviate this crisis. An Inconvenient Truth records a multi-media presentation hosted by Gore in which he discusses the scientific facts behind global warming explains how it has already begun to affect our environment talks about the disastrous consequences if the world's governments and citizens do not act and shares what each individual can do to help protect the Earth for this and future generations. An Inconvenient Truth was directed by Davis Guggenheim a veteran documentary filmmaker who also has an extensive background in episodic television., Al Gore, Greedy Lying Bastards | Frontline: Heat | Frontline: Hot Politics | The 11th Hour | Transforming Energy | Global Warming: The Signs and the Science
https://www.allmovie.com/movie/the-fountain-v312594, The Fountain, Drama, Psychological Sci-Fi Romantic Drama, Nov 22 2006, 95, USA, PG13, 8,  Adult Situations Not For Children Violence, Darren Aronofsky, New Regency Productions Protozoa Pictures Regency Enterprises Warner Brothers, 20th Century Fox Regency Enterprises Warner Brothers, Eyepoppers | Head Trips, Immortality | Death of a Partner | Dying Young | Obsessive Quests | Reincarnation, immortality astronaut Conquistador fountain-of-youth scientist love tree wife, , Requiem for a Dream director Darren Aronofsky switches gears from drug-induced urban malaise to abstract science fiction with this time-tripping symbolic tale of a man's thousand-year quest to save the woman he loves. Moving between representational stories and images this meditation on life and death focuses on the concept of the mythical Tree of Life that is said to bestow immortality to all who drink of its sap. In one of the film's allegorical timelines a 16th century Spanish conquistador played by Hugh Jackman sets out to find the tree in order to save his queen (Rachel Weisz) from the Inquisition. Another conceptual story finds Jackman centuries later struggling with mortality as a modern-day scientist desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife Izzi. The third and most abstract concept finds Jackman as a different incarnation of the same character-idea this time questing for eternal life within the confines of a floating sphere transporting the aged Tree of Life through the depths of space. Even more avant-garde than his breakthrough film Pi The Fountain finds Aronofsky almost completely abandoning conventional story structure in favor of something more cinematically abstract. Though the film was originally slapped with an R by the MPAA Aronofsky and co. re-edited it to conform to a PG-13 rating., Hugh Jackman | Rachel Weisz | Ellen Burstyn | Mark Margolis | Stephen McHattie | Fernando Hernandez | Cliff Curtis | Sean Patrick Thomas | Donna Murphy | Ethan Suplee | Richard McMillan | Lorne Brass | Renee Asofsky | Anish Majumdar | Janique Kearns | Boyd Banks | Alexandre Bisping | Kevin Kelsall | Patricia Dal | Marcello Bezina | Yolanda, The Nines | Pi | Sunshine | Transcendence | What Dreams May Come | Inception
https://www.allmovie.com/movie/the-wind-that-shakes-the-barley-v348261, The Wind That Shakes the Barley, Drama, Period Film Political Drama, Mar 16 2007, 126, Germany Ireland Italy Spain UK, , 9,  Adult Situations Violence, Ken Loach, BIM Distribuzione Cineart Diaphana Element Films EMC FilmCoopi Filmstiftung Nordrhein-Westfalen Irish Film Board Matador Pictures Pathe Pictures Regent Captial Sixteen Films Tornasol TV3 Ireland UK Film Council, IFC First Take (USA) Pathe, Tough Guys, Political Unrest, brother IRA (Irish Republican Army) political-unrest revolution, , Two brothers are caught on differing sides of the battle for Irish freedom in this politically minded historical drama from veteran British filmmaker Ken Loach. It's 1920 and Damien O'Donovan (Cillian Murphy) has recently graduated from medical school. Damien plans to leave the small village in Ireland where he was born to take a job in London much to the annoyance of his brother Teddy (Padraic Delaney) who is an Irish loyalist and wants to see the British stripped of their rule of his land. While visiting Peggy (Mary Riordan) a longtime friend of the family Damien and Teddy witness a visit by "Black and Tans" British soldiers who supposedly keep the peace in Ireland; the soldiers turn violent and murder Michaeil (Lawrence Barry) Peggy's grandson when they discover he only speaks Gaelic. Damien is radicalized by the event and with Teddy joins the local chapter of the Irish Republican Army who use violence to drive British troops out of the country. While the IRA is a poor and ill-equipped fighting force their willingness to give their lives for their cause is taken very seriously by the British who step up their reprisals against the locals; the Black and Tans even begin directing their violence and torture against women and children including Damien's girlfriend Sinead (Orla Fitzgerald). In 1921 Britain attempts to end the violence in Ireland by creating the Irish Free State a compromise government which will give the Irish greater autonomy while Great Britain still retains final political control of the nation. Teddy sees this as a victory and believes it's an important first step to a truly free Ireland but Damien sees the IRA's goal as nothing short of complete independence and the brothers and allies soon become rivals in a battle neither side can win. The Wind That Shakes the Barley received the Golden Palm award as Best Picture at the 2006 Cannes Film Festival., Cillian Murphy | Liam Cunningham | Padraic Delaney | Orla Fitzgerald | Mary Riordan | Mary Murphy | Lawrence Barry | Damien Kearney | Frank Bourke | Myles Horgan | Martin Lucey | Aidan O'Hare | Shane Casey | John Crean | Keith Dunphy | Kieran Hegarty | Gerard Kearney | Shane Nott | Kevin O'Brien | Noel O'Donovan | Frank O'Sullivan | Roger Allam | William Ruane | Sean McGinley | Denis Conway | Frances O'Connor | Christopher Brown | Anthony Martin, Michael Collins | The Boxer | Bloody Sunday | Nothing Personal | The Informer | Army of Shadows
https://www.allmovie.com/movie/lady-chatterley-v381491, Lady Chatterley, Drama, Period Film, Jun 22 2007, 168, Belgium France, , 8, , Pascale Ferran, Arte France Cinema Kino International Les Films du Lendemain Maia Films Saga Films, Ad Vitam Kino International (USA), Food for Thought | In the Mood for Love | Memory Lane, Infidelity | Scandals and Cover-Ups, estate extramarital-affair injury woman groundskeeper, , D.H. Lawrence's once-scandalous tale of a married woman who finds herself through an affair with another man is brought to the screen in this adaptation directed by Pascale Ferran. Constance Chatterley (Marina Hands) is a lovely woman in her mid twenties who is married to Sir Clifford Chatterley (Hippolyte Girardot) a wealthy British nobleman many years her senior who is paralyzed from the waist down due to an injury sustained during World War I. While Constance loves her husband she has grown weary of her life as a bird in a gilded cage as well as her husband's lack of affection. One day Constance steps out to take a walk and pauses to tell Parkin (Jean-Louis Coulloc'h) the estate's groundskeeper that the cook would like him to shoot a pheasant for the evening's meal. Constance discovers Parkin is only half-dressed and the physical strength of his body makes a strong impression on her. Parkin senses Constance's attraction to him and he's equally taken by her beauty; in time the two throw caution to the wind and give in to their mutual passion. Constance blooms through her lovemaking with Parkin and she finds his simple rustic individualism is more to her taste than the life her husband has given her. But as Constance embraces her love for Parkin others become aware of their relationship. Lady Chatterley was adapted from Lady Chatterley et l'Homme des Bois the second of three versions Lawrence would publish of his best-known novel (it was published in English as John Thomas and Lady Jane)., Marina Hands | Jean-Louis Coulloc'h | Hippolyte Girardot | Helene Alexandridis | Hélène Fillières | Sava Lolov | Jean-Baptiste Montagut | Michel Vincent | Christelle Hes | Bernard Verley, The Portrait of a Lady | Vanity Fair | Out of Africa | Citizen Kane | There Will Be Blood | How the West Was Won
https://www.allmovie.com/movie/apocalypto-v332343, Apocalypto, Action Epic, Chase Movie Historical Epic, Dec 8 2006, 138, USA, R, 7,  Gore Graphic Violence, Mel Gibson, Icon Productions Touchstone Pictures, Buena Vista Touchstone Pictures, Adrenaline Rush, Heroic Mission | Race Against Time, captive civilization human-sacrifice Mayan pursuit warrior, High Budget High Production Values, As the foundation of the Mayan civilization begins to crumble one man's previously idyllic existence is forever changed when he is chosen as a sacrifice needed to appease the gods in director Mel Gibson's mythic end-times adventure. The Mayan kingdom is at the absolute height of opulence and power but leaders are convinced that unless more temples are constructed and more human sacrifices made the crops and ultimately the people will suffer. Jaguar Paw (Rudy Youngblood) is a peaceful hunter from a remote forest tribe whose life is about to be changed forever. When Jaguar Paw's village is raided and he is prepared as a sacrifice that the Mayan deities have demanded the brave young hunter is forced to navigate a horrific new world of fear and oppression. Fearlessly determined to escape his captors and save his family from a harrowing demise Jaguar Paw prepares to risk it all in one final desperate attempt to preserve his dying way of life. However few who have seen the sacrificial alter of the Mayans have managed to live to see another day. Now in order to rescue his pregnant wife and young son Jaguar Paw will have to elude the most powerful warriors of the Mayan kingdom while using his vast knowledge of the forest to turn the tables on those who would rather see him dead than set free. Inspired by such ancient Mayan texts as the Popul Vuh Apocalypto marks a comprehensive collaboration between director Gibson Cambridge-educated screenwriter Farhad Safinia and world-renowned archeologist and Mayan culture expert Dr. Richard D. Hansen -- whose services as a special consultant on the film lent the production an unprecedented degree of historical accuracy., Rudy Youngblood | Jonathan Brewer | Morris Birdyellowhead | Amilcar Ramirez | Israel Contreras | Israel Rios | Espiridion Acosta Cache | Mayra Serbulo | Iazua Larios | Lorena Hernández | Hiram Soto | Raoul Trujillo | Gerardo Taracena | Rodolfo Palacios | Ariel Galván | Richard Can | Ammel Rodrigo Mendoza | Marco Antonio Argueta | Javier Escobar | Fernando Hernandez | Maria Isidra Hoil | Aquetzali Garcia | Abel Woolrich | Antonio Monroy | Nicolas Jasso | Ronaldo Eknal | Miriam Tun | Diana Botello, 10000 B.C. | 300 | Beowulf | Gladiator | Braveheart | Troy
https://www.allmovie.com/movie/this-is-england-v358990, This Is England, Drama, Coming-of-Age Period Film, Jul 27 2007, 102, UK, , 7,  Adult Situations Drug Content Violence, Shane Meadows, Big Arty Productions EM Media Film4 IFC First Take Release Ingenious Film Partners Red Envelope Entertainment Screen Yorkshire The UK Film Council Warp Films, FilmFour IFC Optimum Releasing The UK Film Council, Angsty, Innocence Lost | Kids in Trouble | Race Relations | Death of a Parent, adolescence racism ska-music skinhead, , British filmmaker Shane Meadows looks back at his own youth in this semi-autobiographical comedy drama that examines skinhead culture in the U.K. It's the summer of 1983 and Shaun (Thomas Turgoose) is a 12-year-old boy edging into adolescence without a father his dad having lost his life the year before in the Falkland Islands War. A gang of skinheads -- tough guys in their teens and early twenties who shave their heads wear Ben Sherman polo shirts and Dr. Martens boots and listen to ska music -- walk the streets in Shaun's neighborhood and one day they start picking on him. Shaun however shows he can give as good as he gets and gang leader Woody (Joe Gilgun) takes a liking to the boy. Woody takes Shaun under his wing and he starts hanging out with the skins getting advice on dressing right from Woody's girlfriend Lol (Vicky McClure) and learning about Jamaican music from West Indian skinhead Milky (Andrew Shim). However the gang begins to change when Combo (Stephen Graham) is released from prison and returns to the neighborhood; like many skinheads Combo has been recruited by the National Front an openly racist right-wing political party and soon the gang begins to fracture with Combo taking one faction toward violence and petty crime against blacks Indians and Pakistanis while Woody and his friends follow a more benign path. This Is England received its North American premiere at the 2006 Toronto Film Festival., Thomas Turgoose | Stephen Graham | Jo Hartley | Andrew Shim | Vicky McClure | Perry Benson | Frank Harper | Jack O'Connell | Kieran Hardcastle | Michael Socha | Aisling Loftus | Shane Meadows | Pamela Cundell | Seamus O'Neill | Ladene Hall | Harold Gould | Stuart Wolfenden | Georgia Groome, Romper Stomper | Meantime | Sweet Sixteen | To Kill a Mockingbird | East of Eden | A Tree Grows in Brooklyn
https://www.allmovie.com/movie/cars-v290414, Cars, Children's/Family Comedy, Family-Oriented Comedy Road Movie, Jun 9 2006, 116, USA, G, 7,  Suitable for Children, John Lasseter / Joe Ranft, Pixar Animation Studios Walt Disney Pictures, Buena Vista Pictures Walt Disney Pictures, Memory Lane | Young and Old Alike, Fish Out of Water | Small-Town Life | Car Racing | Culture Clash, auto-racing NASCAR race-car, , A pedal-to-the-metal race car determined to prove his worth on the tracks discovers that life isn't always about crossing the finish line first in Toy Story director John Lasseter's mechanically minded tale of friendship and loyalty. Lightning McQueen (voice of Owen Wilson) may be just a rookie but he's convinced that he can realize his dream of zooming by the checkered flag if he can only make it to California in time to compete in the upcoming Piston Cup Championship. When Lightning takes a detour into the slow-moving Route 66 town of Radiator Springs however it begins to appear as if his shot at the big time has effectively stalled out. Of course Lightning's exciting cross-country trek wasn't all for naught and after befriending such quirky Radiator Springs residents as Sally the Porsche (voice of Bonnie Hunt) Doc Hudson (voice of Paul Newman) and Mater the Tow Truck (voice of Larry the Cable Guy) the eager young racer learns that sometimes life is more about the voyage than the outcome of the race., Owen Wilson | Paul Newman | Bonnie Hunt | Larry the Cable Guy | Cheech Marin | Tony Shalhoub | Guido Quaroni | Jenifer Lewis | Paul Dooley | Michael Wallis | George Carlin | Katherine Helmond | John Ratzenberger | Joe Ranft | Michael Keaton | Jeremy Piven | Bob Costas | Darrell Waltrip | Richard Kind | Edie McClurg | Tom Magliozzi | Ray Magliozzi | Richard Petty | Andrew Stanton | Dale Earnhardt Jr. | Michael Schumacher | Jay Leno | Mario Andretti | Lou Romano | E.J. Holowicki | Elissa Knight | Lindsey Collins | Tom Hanks | Tim Allen | Billy Crystal | John Goodman | Dave Foley | Jack Angel | Bob Bergen | Rodger Bumpass | John Cygan | Jennifer Darling | Paul Eiding | Bill Farmer | Teresa Ganzel | Jess Harnell | Sherry Lynn | Danny Mann | Mickie T. McGowan | Laraine Newman | Teddy Newton | Colleen O'Shaughnessy | Bob Peterson | Jan Rabson | Ken Schretzmann | Jim Ward, Surf's Up | La Vida de un Coche | Herbie: Fully Loaded | Kart Racer | Over the Hedge | Doc Hollywood
https://www.allmovie.com/movie/happy-feet-v322645, Happy Feet, Children's/Family, Adventure Comedy Family-Oriented Comedy, Nov 17 2006, 108, Australia Canada USA, PG, 6,  Scatological Humor, George Miller, Animal Logic Film Village Roadshow Pictures Warner Brothers, Warner Brothers, Pick-Me-Ups, Mothers and Sons | Talented Animals, penguin Antarctica tap-dance outcast, High Production Values, In the world of the emperor penguin a simple song can mean the difference between a lifetime of happiness and an eternity of loneliness. When a penguin named Mumble is born without the ability to sing the romantic song that will attract his soul mate he'll have to resort to some fancy footwork by tap dancing his way into the heart of the one he loves. Directed by Babe mastermind George Miller Happy Feet tells the tale of one penguin's quest for love and features an all-star cast of vocal talent that includes Robin Williams Hugh Jackman Elijah Wood Nicole Kidman and Brittany Murphy., Elijah Wood | Robin Williams | Brittany Murphy | Hugh Jackman | Nicole Kidman | Hugo Weaving | Anthony LaPaglia | Magda Szubanski | Steve Irwin | Carlos Alazraqui | Lombardo Boyar | Miriam Margolyes | Fat Joe | Alyssa Shafer | Cesar Flores | Jeff Garcia | Danny Mann | Michael Cornacchia | Tiriel Mora | Dee Bradley Baker | Lee Perry | Alan Shearman | Larry Moss | Peter Carroll | Chrissie Hynde | Michelle Arthur | Denise Blasor | Roger Rose | Kelley Abbey | Savion Glover | Shannon Holtzapffel | Warren Coleman | Felix Williamson | Cassandra Swaby | Henry Nixon | Belinda Bromilow | Dasi Ruz | Helmut Bakaitis | Simon Westaway | Logan Arens | Shane Baumel | Kwesi Boakye | A.J. Buckley | Erin Chambers | Jeff Fischer, Happy Feet Two | Surf's Up | Delhi Safari | Dr. Seuss' The Lorax | Racing Stripes | Babe
https://www.allmovie.com/movie/the-devil-wears-prada-v336015, The Devil Wears Prada, Comedy Drama, Workplace Comedy Urban Comedy, Jun 30 2006, 109, USA, PG13, 6,  Adult Language Adult Situations Sexual Situations, David Frankel, Fox 2000 Pictures Wendy Finerman, 20th Century Fox, Estrogen Shot, Boss from Hell | Big Break | Fashion World | Office Politics | Women's Friendship | Fish Out of Water, assistant career editor fashion-industry integrity magazine, , Lauren Weisberger's best-selling novel about a young woman who stumbles into the hectic worlds of high fashion and publishing comes to the big screen in this comedy. Andrea "Andy" Sachs (Anne Hathaway) is a bright young woman from the Midwest who has just graduated from college and wants to work as a magazine writer. Andy has applied for a job at "Runway" America's most prestigious fashion journal; though Andy has little to no interest in the garment trade they are one of the only magazines in New York with a job opening -- second assistant to editor Miranda Priestly (Meryl Streep). As Andy quickly learns Miranda is a diva with plenty of power within the magazine business and she isn't afraid to use it and though Andy lands the job (primarily by being in the right place at the right time) she soon learns that working for Miranda could test the patience of a saint thanks to her endless demands and refusal to acknowledge the end of a work day. Andy struggles to hold on to the job and her sanity knowing that a recommendation from Miranda can open nearly any door at any magazine but can she handle the pressure without losing her mind along the way? The Devil Wears Prada also stars Stanley Tucci Emily Blunt and Adrian Grenier., Meryl Streep | Anne Hathaway | Emily Blunt | Stanley Tucci | Adrian Grenier | Tracie Thoms | Rich Sommer | Simon Baker | Daniel Sunjata | Jimena Hoyos | Rebecca Mader | Tibor Feldman | Stephanie Szostak | David Marshall Grant | James Naughton | Colleen Dengel | Suzanne Dengel | Eric Seltzer | Davide Callegati | Alexie Gilmore | Alyssa Sutherland | Ines Rivero | John Rothman | L.J. Ganser | George C. Wolfe | Gisele Bündchen | Paul Keany | Rori Cannon | Stan Newman | Heidi Klum | Valentino Garavani | Robert Verdi | Lindsay Brice | John Graham | Wells Dixon | Valentino | Mamie Gummer, Post Grad | Morning Glory | Uptown Girls | How to Lose Friends and Alienate People | Intern | Working Girl
https://www.allmovie.com/movie/deliver-us-from-evil-v354052, Deliver Us From Evil, History, Biography Law & Crime Religions & Belief Systems, Oct 13 2006, 103, USA, NR, 8,  Adult Situations Profanity Sexual Situations, Amy Berg, Disarming Films, Lionsgate, Food for Thought | Uncomfortable Viewing, Domestic Abuse | Members of the Clergy | Rape & Sexual Abuse | Wolf in Sheep's Clothing, aftermath Catholicism child-molestation priest shame, , Filmmaker Amy Berg recounts a harrowing story of child abuse and how a serial child molester went free for the better part of two decades in this documentary. Oliver O'Grady was a Catholic priest who served in a number of parishes in Southern California during the 1970s and '80s. O'Grady was also a habitual child molester who abused dozens of youngsters who were entrusted to his care and while his superiors in the church were aware of O'Grady's crimes as early as 1973 they opted to simply move him from one congregation to another rather than turn him in to authorities or strip him of his ordination. In Deliver Us From Evil a number of O'Grady's victims and their families discuss his crimes and the repercussions they feel to this day. O'Grady himself also appears in the film speaking candidly about his career as a sexual predator and recounting his misdeeds in detail. (After finally being convicted of child sexual abuse O'Grady served time in prison and now lives in Ireland where he is still looked after by Catholic clergy.) Berg also offers a look into the history of the Catholic Church and how its leadership has often protected those within the hierarchy at the expense of their worshipers. Deliver Us From Evil was named Best Documentary Feature at the 2006 Los Angeles Film Festival., Jeff Anderson, Mea Maxima Culpa: Silence in the House of God | Hand of God | O.J.: Made in America | Band of Sisters | The Dhamma Brothers | The Missing Piece: Mona Lisa Her Thief The True Story
https://www.allmovie.com/movie/lake-of-fire-v358924, Lake of Fire, Culture & Society, Social Issues Medicine Politics & Government Religions & Belief Systems, Oct 3 2007, 152, USA, , 9, , Tony Kaye, Above The Sea Tony Kaye Productions, THINKFilm, Food for Thought, , abortion archival-footage debate extremist interview medical-ethics moral-conflict pro-choice pro-life side-effects violence, High Artistic Quality, With Lake of Fire American History X helmer and music-video director Tony Kaye climbs inside of the decades-old abortion debate for a 152-minute study of the pro-life and pro-choice positions. In the process he uncovers not an objective black-and-white issue but a myriad of circumstances and sub-issues of tremendous moral complexity and ambiguity. He then investigates the sub-philosophies and ideas that belie each side with generous input and assistance from socialist Noam Chomsky and via interviews with Christian theologians and professors of bioethics sociology and philosophy. Kaye also gives substantial consideration to the violence directed by certain extremists at abortion doctors nurses and clinics. The director worked on the picture for well over 15 years and it serves as a prime candidate for the definitive abortion documentary. However be forewarned: Lake of Fire includes lengthy graphic depictions of abortion procedures and their physical and emotional side-effects and it is not for the squeamish or suitable for younger audiences., Alan Dershowitz | Noam Chomsky | Nat Hentoff | Peter Singer, How to Survive a Plague | Sicko | The Fog of War | Hearts and Minds | Our Brand Is Crisis | BattleGround: 21 Days on the Empire's Edge
https://www.allmovie.com/movie/days-of-glory-v348254, Days of Glory, War, Combat Films War Drama, Feb 16 2006, 123, Algeria Belgium France Morocco, R, 8,  Adult Situations Profanity War Violence, Rachid Bouchareb, France 2 Cinema France 3 Cinema Kissfilms La Petite Scope Invest StudioCanal Taza Productions Tessalit Productions Versus Producti Verus Production, France 2 Cinéma IFC Films Kissfilms Productions Scope Invest StudioCanal Tessalit Productions The Weinstein Co., Food for Thought, Race Relations | Great Battles, Africa world-war, High Artistic Quality, Director Rachid Bouchareb teams with screenwriter Olivier Morelle to offer a revealing look at the brave contributions made by North African soldiers who fought for France during World War II in this emotionally-charged war drama starring Jamel Debbouze Samy Naceri Sami Bouajila and Bernard Blancan. The year was 1943 and France had been bending to the will of Nazi Germany for three long years. In order to break Hitler's powerful grip the first French Army was recruited in Africa. Comprised of 130000 North Africans who were willing to put their lives on the line in order to defeat the Nazi death machine the fearless fighters were contemptuously dubbed indigènes (natives) by many French despite their remarkable sacrifice. From the noble Abdelkader (Bouajila) who is fighting strictly for the cause; to the money motivated Yassir (Naceri); the impoverished Saïd (Debbouze); and die-hard romantic Messaoud (Roschdy Zem) who longs to finally visit the country he has dreamt about from afar the selfless efforts of these remarkable men ultimately transcend their superiors' contemptuous disregard for their service by providing invaluable aid during one of the world's darkest hours., Jamel Debbouze | Samy Naceri | Roschdy Zem | Sami Bouajila | Bernard Blancan | Mathieu Simonet | Benoit Giros | Mélanie Laurent | Antoine Chappey | Assaad Bouab | Thomas Langmann | Thibault de Montalembert | Diouc Koma | Philippe Beglia | Momo Debbouze | Abdelhamid Idjaini | Corentin Lobet | Mohamed Madj | Mathieu Schiffman | Anton Yakovlev, Outside the Law | Free Men | Glory | Army of Crime | Hart's War | Sergeant York
https://www.allmovie.com/movie/akeelah-and-the-bee-v321726, Akeelah and the Bee, Drama, Childhood Drama Urban Drama, Apr 28 2006, 112, USA, PG, 8,  Adult Language Adult Situations, Doug Atchison, Cinema Gypsy Productions Lionsgate Out of the Blue Entertainment Reactor Films, 2929 Entertainment Lionsgate Starbucks Entertainment, Triumph of the Spirit, Teachers and Students | Child Prodigies | Mothers and Daughters | Inner City Blues | Single Parents, spelling-bee school-principal courage inspiration neighborhood precociousness spelling tutor, , A young girl learns to believe in herself and value her intelligence in this critically-acclaimed family-friendly drama. Akeelah Anderson (Keke Palmer) is an 11-year-old being raised by her mother Tanya (Angela Bassett) who was left on her own after the death of her husband. While Akeelah is a very bright girl she's hardly a star student and seems afraid of acting like a bookworm around her friends and classmates. However Akeelah's teacher sees genuine potential in her student and encourages her to enter the school's spelling bee convinced Akeelah has the brains and the talent to win. Akeelah applies herself and emerges victorious in the local competition but discovers the going gets tougher when she goes to a statewide bee studying for the regionals under the aegis of strict English teacher Dr. Larabee (Laurence Fishburne) who consents to act as her coach A college professor who was a spelling-bee champ as a child Larabee is a stubborn taskmaster who questions Akeelah's ability and commitment but in time he develops a respect for his pupil and helps her prove her talent as she climbs the ladder to the National Spelling Bee. Meanwhile Tanya feels intimidated when she finds the contests are dominated by children from wealthy families and privileged backgrounds and argues that the competition may not be in Akeelah's best interest believing instead that homework should be the one and only priority in Akeelah's life. It soon becomes apparent that if Akeelah has any intention of entering the national spelling bee championships in Washington D.C. she will not do so with Tanya's permission or blessing. This marks the first onscreen reunion of Bassett and Fishburne since their Academy Award-nommed performances as Ike Turner and Tina Turner in Brian Gibson's 1993 biopic What's Love Got to Do with It., Laurence Fishburne | Angela Bassett | Keke Palmer | Curtis Armstrong | Tzi Ma | Lee Thompson Young | Sahara Garey | Sean Michael Afable | Erica Hubbard | Julito McCullum | Dalia Phillips | Eddie Steeples | Jeris Poindexter | Sara Niemietz | George Hornedo | Craig Wasson | Katie Kerwin McCrimmon | Marjorie Harris | Krysten Leigh Jones | Jeff Marlow | Lee Garlington | Sid Ganis | Austin Herrera Davis | Janet Borrus | Wolfgang Bodison | Marcus Hawkins Dungey | Bonita Friedericy | Caroline J. Smith | Neil Soni | Jack Ong | Lauren Sanchez | Fay Hauser | Todd Wagner | Zachary Gardner | Jmeka Cherrel, The Secret Life of Bees | Music of the Heart | Pay It Forward | Madame Sousatzka | Bee Season | Finding Forrester
